image,name,label
2016-super-bowl-vector-logo-400x400.jpg,2016-super-bowl-vector-logo-400x400,2016
a-stars-alpinestars-vector-logo-400x400.png,a-stars-alpinestars-vector-logo-400x400,a
aareal-bank-vector-logo-400x400.png,aareal-bank-vector-logo-400x400,aareal
abercrombie-and-fitch-black-vector-logo-400x400.png,abercrombie-and-fitch-black-vector-logo-400x400,abercrombie
abercrombie-fitch-a-f-vector-logo-400x400.png,abercrombie-fitch-a-f-vector-logo-400x400,abercrombie
abs-wheels-vector-logo-400x400.png,abs-wheels-vector-logo-400x400,abs
abta-logo-vector-download-400x400.jpg,abta-logo-vector-download-400x400,abta
abu-dhabi-logo.png,abu-dhabi-logo,abu
ac-cuneo-1905-vector-logo-400x400.png,ac-cuneo-1905-vector-logo-400x400,ac
ac-dc-black-vector-logo-400x400.png,ac-dc-black-vector-logo-400x400,ac
ac-milan-eps-vector-logo-400x400.png,ac-milan-eps-vector-logo-400x400,ac
ac-pisa-1909-vector-logo-400x400.png,ac-pisa-1909-vector-logo-400x400,ac
accept-logo-vector-download.jpg,accept-logo-vector-download,accept
ace-cafe-london-logo-vector-download.jpg,ace-cafe-london-logo-vector-download,ace
adidas-3-vector-logo-400x400.png,adidas-3-vector-logo-400x400,adidas
adidas-black-vector-logo-400x400.png,adidas-black-vector-logo-400x400,adidas
adidas-celebrate-originality-vector-logo-400x400.png,adidas-celebrate-originality-vector-logo-400x400,adidas
Adidas-logo-400x400.png,Adidas-logo-400x400,Adidas
adidas-originals-logo-400x400.png,adidas-originals-logo-400x400,adidas
Adidas-Trefoil-logo-vector-for-free-download.png,Adidas-Trefoil-logo-vector-for-free-download,Adidas
Adidas-Y-3-logo-vector-free-download.png,Adidas-Y-3-logo-vector-free-download,Adidas
adobe-eps-vector-logo-400x400.png,adobe-eps-vector-logo-400x400,adobe
adobe-systems-vector-logo-400x400.png,adobe-systems-vector-logo-400x400,adobe
advan-logo-vector-download.jpg,advan-logo-vector-download,advan
aeon-logo-vector-400x400.png,aeon-logo-vector-400x400,aeon
afc-champions-league-logo.png,afc-champions-league-logo,afc
agoda-logo-preview-400x400.png,agoda-logo-preview-400x400,agoda
Agribank-logo-400x400.png,Agribank-logo-400x400,Agribank
aguilas-del-america-vector-logo-400x400.png,aguilas-del-america-vector-logo-400x400,aguilas
air-arabia-vector-logo-400x400.png,air-arabia-vector-logo-400x400,air
air-asia-eps-vector-logo-400x400.png,air-asia-eps-vector-logo-400x400,air
airtel-2010-vector-logo-400x400.png,airtel-2010-vector-logo-400x400,airtel
