image,name,label,img_type
2016-super-bowl-vector-logo-400x400.jpg,2016-super-bowl-vector-logo-400x400,2016,.jpg
a-stars-alpinestars-vector-logo-400x400.png,a-stars-alpinestars-vector-logo-400x400,a,.png
aareal-bank-vector-logo-400x400.png,aareal-bank-vector-logo-400x400,aareal,.png
abercrombie-and-fitch-black-vector-logo-400x400.png,abercrombie-and-fitch-black-vector-logo-400x400,abercrombie,.png
abercrombie-fitch-a-f-vector-logo-400x400.png,abercrombie-fitch-a-f-vector-logo-400x400,abercrombie,.png
abs-wheels-vector-logo-400x400.png,abs-wheels-vector-logo-400x400,abs,.png
abta-logo-vector-download-400x400.jpg,abta-logo-vector-download-400x400,abta,.jpg
abu-dhabi-logo.png,abu-dhabi-logo,abu,.png
ac-cuneo-1905-vector-logo-400x400.png,ac-cuneo-1905-vector-logo-400x400,ac,.png
ac-dc-black-vector-logo-400x400.png,ac-dc-black-vector-logo-400x400,ac,.png
ac-milan-eps-vector-logo-400x400.png,ac-milan-eps-vector-logo-400x400,ac,.png
ac-pisa-1909-vector-logo-400x400.png,ac-pisa-1909-vector-logo-400x400,ac,.png
accept-logo-vector-download.jpg,accept-logo-vector-download,accept,.jpg
ace-cafe-london-logo-vector-download.jpg,ace-cafe-london-logo-vector-download,ace,.jpg
adidas-3-vector-logo-400x400.png,adidas-3-vector-logo-400x400,adidas,.png
adidas-black-vector-logo-400x400.png,adidas-black-vector-logo-400x400,adidas,.png
adidas-celebrate-originality-vector-logo-400x400.png,adidas-celebrate-originality-vector-logo-400x400,adidas,.png
Adidas-logo-400x400.png,Adidas-logo-400x400,Adidas,.png
adidas-originals-logo-400x400.png,adidas-originals-logo-400x400,adidas,.png
Adidas-Trefoil-logo-vector-for-free-download.png,Adidas-Trefoil-logo-vector-for-free-download,Adidas,.png
Adidas-Y-3-logo-vector-free-download.png,Adidas-Y-3-logo-vector-free-download,Adidas,.png
adobe-eps-vector-logo-400x400.png,adobe-eps-vector-logo-400x400,adobe,.png
adobe-systems-vector-logo-400x400.png,adobe-systems-vector-logo-400x400,adobe,.png
advan-logo-vector-download.jpg,advan-logo-vector-download,advan,.jpg
aeon-logo-vector-400x400.png,aeon-logo-vector-400x400,aeon,.png
afc-champions-league-logo.png,afc-champions-league-logo,afc,.png
agoda-logo-preview-400x400.png,agoda-logo-preview-400x400,agoda,.png
Agribank-logo-400x400.png,Agribank-logo-400x400,Agribank,.png
aguilas-del-america-vector-logo-400x400.png,aguilas-del-america-vector-logo-400x400,aguilas,.png
air-arabia-vector-logo-400x400.png,air-arabia-vector-logo-400x400,air,.png
air-asia-eps-vector-logo-400x400.png,air-asia-eps-vector-logo-400x400,air,.png
airtel-2010-vector-logo-400x400.png,airtel-2010-vector-logo-400x400,airtel,.png
airtel-logo-vector-400x400.png,airtel-logo-vector-400x400,airtel,.png
airwell-logo-preview-400x400.png,airwell-logo-preview-400x400,airwell,.png
ajax-logo-vector-400x400.png,ajax-logo-vector-400x400,ajax,.png
ajuntament-de-barcelona-vector-logo-400x400.png,ajuntament-de-barcelona-vector-logo-400x400,ajuntament,.png
ak-parti-orjinal-vector-logo-400x400.png,ak-parti-orjinal-vector-logo-400x400,ak,.png
ak-sigorta-vector-logo-400x400.png,ak-sigorta-vector-logo-400x400,ak,.png
akrapovic-logo-vector-400x400.png,akrapovic-logo-vector-400x400,akrapovic,.png
alfa-romeo-auto-vector-logo-400x400.png,alfa-romeo-auto-vector-logo-400x400,alfa,.png
alfa-romeo-mito-logo-vector-download.jpg,alfa-romeo-mito-logo-vector-download,alfa,.jpg
alianza-francesa-vector-logo-400x400.png,alianza-francesa-vector-logo-400x400,alianza,.png
alibaba-group-logo.png,alibaba-group-logo,alibaba,.png
alibaba-logo-png-400x400.png,alibaba-logo-png-400x400,alibaba,.png
alipay-logo.png,alipay-logo,alipay,.png
all-blacks-eps-vector-logo-400x400.png,all-blacks-eps-vector-logo-400x400,all,.png
all-new-accord-vector-logo-400x400.png,all-new-accord-vector-logo-400x400,all,.png
all-nippon-airways-logo.png,all-nippon-airways-logo,all,.png
allah-cellacelaluhu-vector-logo-400x400.png,allah-cellacelaluhu-vector-logo-400x400,allah,.png
allahabad-bank-vector-logo-400x400.png,allahabad-bank-vector-logo-400x400,allahabad,.png
allegiant-air-logo-preview-400x400.png,allegiant-air-logo-preview-400x400,allegiant,.png
alpina-eps-vector-logo-400x400.png,alpina-eps-vector-logo-400x400,alpina,.png
alpine-stars-black-vector-logo-400x400.png,alpine-stars-black-vector-logo-400x400,alpine,.png
alpinestars-eps-vector-logo-400x400.png,alpinestars-eps-vector-logo-400x400,alpinestars,.png
amazon-alexa-logo.png,amazon-alexa-logo,amazon,.png
amazon-logo-history-400x400.jpg,amazon-logo-history-400x400,amazon,.jpg
amazon-logo-preview-400x400.png,amazon-logo-preview-400x400,amazon,.png
amazon-logo-vector-download-400x400.jpg,amazon-logo-vector-download-400x400,amazon,.jpg
amazon-payments-logo-preview-400x400.png,amazon-payments-logo-preview-400x400,amazon,.png
amb-generali-logo-vector-download-400x400.jpg,amb-generali-logo-vector-download-400x400,amb,.jpg
american-express-logo.png,american-express-logo,american,.png
american-flag-logo-vector-400x400.png,american-flag-logo-vector-400x400,american,.png
amsoil-vector-logo-400x400.png,amsoil-vector-logo-400x400,amsoil,.png
amway-vector-logo-400x400.png,amway-vector-logo-400x400,amway,.png
andhra-bank-vector-logo-400x400.png,andhra-bank-vector-logo-400x400,andhra,.png
Android-app-on-Google-play-badge-vector.png,Android-app-on-Google-play-badge-vector,Android,.png
android-pay-logo.png,android-pay-logo,android,.png
android-robot-vector-400x400.jpg,android-robot-vector-400x400,android,.jpg
android-vector-logo.png,android-vector-logo,android,.png
anker-logo-vector-download-400x400.png,anker-logo-vector-download-400x400,anker,.png
antalya-buyuksehir-belediyesi-vector-logo-400x400.png,antalya-buyuksehir-belediyesi-vector-logo-400x400,antalya,.png
apple-3d-vector-logo-400x400.png,apple-3d-vector-logo-400x400,apple,.png
apple-app-store-logo.png,apple-app-store-logo,apple,.png
apple-classic-logo-vector-400x400.png,apple-classic-logo-vector-400x400,apple,.png
